miRNA,cell,platform,Series
hsa-miR-132,HEK293T,Microarray,GSE24812
hsa-miR-380,PDGFRA,Microarray,GSE32876
hsa-miR-433,PDGFRA,Microarray,GSE32876
hsa-miR-448,PDGFRA,Microarray,GSE32876
hsa-miR-302a,PC-3,Microarray,GSE32999
hsa-miR-372,PC-3,Microarray,GSE32999
hsa-miR-530f,PC-3,Microarray,GSE32999
hsa-miR-373,HeLa,Microarray,GSE2075
hsa-miR-520c,PC-3,Microarray,GSE32999
hsa-miR-147,A549,Microarray,GSE33247
hsa-miR-147b,A549,Microarray,GSE33247
hsa-miR-210,HUVEC,Microarray,GSE16962
hsa-miR-182,SNB19,Microarray,GSE33293
hsa-miR-34c-5p,human nasal mucosa,Microarray,GSE22143
hsa-miR-34c-5p,human nasal mucosa,Microarray,GSE22143
hsa-miR-143,DLD-1,Microarray,GSE33420
hsa-miR-9,MCF-7,Microarray,GSE15749
hsa-miR-376a*,SW1783,Microarray,GSE34482
hsa-miR-376a*,SW1783,Microarray,GSE34482
hsa-miR-21,HFL1 fibroblast,Microarray,GSE34815
hsa-miR-199a,HFL1 fibroblast,Microarray,GSE34815
hsa-miR-106b,HCT116,Microarray,GSE12615
hsa-miR-181b,HUVEC,Microarray,GSE35030
hsa-miR-941,HSF2,Microarray,GSE35620
hsa-miR-941,HSF2,Microarray,GSE35620
hsa-miR-941,HSF2,Microarray,GSE35620
hsa-miR-214,H929,Microarray,GSE35948
hsa-miR-181a,HeLa,Microarray,GSE11968
hsa-miR-375,SAS,Microarray,GSE26032
hsa-miR-145,DLD-1,Microarray,GSE18625
hsa-miR-874,IMC3,Microarray,GSE24782
hsa-miR-874,IMC3,Microarray,GSE24782
hsa-miR-31,OVCAR-8 ovarian cancer cell line,Microarray,GSE16700
hsa-miR-222,PC3,Microarray,GSE37119
hsa-miR-375,SAS,Microarray,GSE26032
hsa-miR-375,SAS,Microarray,GSE26032
hsa-miR-1285,A498,Microarray,GSE37119
hsa-miR-1285,A498,Microarray,GSE37119
hsa-miR-206,LNCaP,Microarray,GSE31620
hsa-miR-200c,A498,Microarray,GSE37119
hsa-miR-429,A498,Microarray,GSE37119
hsa-miR-218,BOY,Microarray,GSE24782
hsa-miR-200a,HeLa,Microarray,GSE18545
hsa-miR-200b,A498,Microarray,GSE37119
hsa-miR-141,A498,Microarray,GSE37119
hsa-miR-138,A498,Microarray,GSE37119
hsa-miR-218,BOY,Microarray,GSE24782
hsa-miR-218,BOY,Microarray,GSE24782
hsa-miR-200a,HeLa,Microarray,GSE18545
hsa-miR-200b,A498,Microarray,GSE37119
hsa-miR-200c,A498,Microarray,GSE37119
hsa-miR-141,A498,Microarray,GSE37119
hsa-miR-429,A498,Microarray,GSE37119
hsa-miR-1291,A498,Microarray,GSE37119
hsa-miR-1291,A498,Microarray,GSE37119
hsa-miR-504,FaDu,Microarray,GSE37119
hsa-miR-504,FaDu,Microarray,GSE37119
hsa-miR-107,HeLa,Microarray,GSE37729
hsa-miR-181b,HUVEC,Microarray,GSE35030
hsa-miR-218,BOY,Microarray,GSE24782
hsa-miR-9-3p,HeLa,Microarray,GSE37729
hsa-miR-107,HeLa,Microarray,GSE37729
hsa-miR-181b,HUVEC,Microarray,GSE35030
hsa-miR-218,BOY,Microarray,GSE24782
hsa-miR-181b,HUVEC,Microarray,GSE35030
hsa-miR-198,N/TERT-1,Microarray,GSE37967
hsa-let-7d,fetal lung fibroblast,Microarray,GSE38530
hsa-miR-30b,fetal lung fibroblast,Microarray,GSE38530
hsa-miR-182,SNB19,Microarray,GSE33293
hsa-miR-374a,MCF-7,Microarray,GSE39359
hsa-miR-145,DLD-1,Microarray,GSE18625
hsa-miR-27a,Huh-7.5,Microarray,GSE41737
hsa-miR-137,SW780,Microarray,GSE41760
hsa-miR-32,KYSE30,Microarray,GSE43195
hsa-miR-455,KYSE30,Microarray,GSE43195
hsa-miR-181a,HeLa,Microarray,GSE11968
hsa-miR-181b,HUVEC,Microarray,GSE35030
hsa-miR-139-5p,U87,Microarray,GSE44728
hsa-miR-139-5p,U87,Microarray,GSE44728
hsa-miR-139-5p,U87,Microarray,GSE44728
hsa-miR-145,DLD-1,Microarray,GSE18625
hsa-miR-124,HeLa,Microarray,GSE11968
