hsa-let-7g,hsa-miR-141,hsa-miR-200a,AAGAB,AAK1,ABCA2,ABCF2,ABCG2,ABHD11,ABL1,ABL2,ABLIM1,ACAA1,ACOT11,ACOT4,ACSL4,ACTR3,ACVR1B
6.62,6.51,6.34,7.200578,6.661309,5.10201,6.676342,8.187271,7.992807,8.185442,6.7034035,6.2338535,6.397566,6.525877,4.177247,5.266274,9.073637,7.448638
6.38,6.44,6.39,7.427581,5.74378,5.310552,7.244419,4.911864,7.60525,9.444621,7.681278,5.3480475,6.89966,6.41371,5.189872,4.532132,9.405652,7.107381
6.83,6.47,6.465,6.488338,6.719437,5.487189,5.963994,5.173507,7.397348,8.357996,7.319286,6.7176265,6.183022,6.2176,3.962604,6.102673,9.432047,6.967079
6.63,6.48,6.4,7.57935,6.684419,5.040066,6.201899,4.880213,7.916824,8.366629,7.121148,6.3787795,6.49753,6.455572,4.068422,5.502605,9.347752,7.07316
6.9,6.57,7.285,7.31108,6.798184,5.12851,6.261912,5.576041,7.341069,7.900622,7.5167825,6.2320395,6.283133,6.59899,5.810228,5.230734,9.231309,7.992092
6.4,6.51,7.77,6.610408,6.206828,5.369984,6.528974,5.008354,7.201878,8.28823,8.3099745,6.7957815,5.291133,6.508183,4.647305,5.020502,9.051402,7.481261
6.79,6.4,6.525,6.711126,6.161284,5.830548,6.286449,5.288104,7.563856,8.136965,7.9799825,6.076496,6.20086,6.828606,5.100562,5.218289,9.238281,7.618798
6.9,6.51,7.525,6.389252,6.127628,5.637984,6.682829,5.010732,7.960894,7.932731,7.1089045,6.865821,6.893384,6.790984,4.663779,4.183999,7.993269,7.344409
6.44,6.42,7.105,7.236798,5.85044,5.169967,6.46158,4.961166,7.326961,9.417626,6.800185,5.229108,6.293258,6.579764,4.11919,5.625856,9.272426,7.570099
6.47,6.38,6.39,7.419177,6.477297,5.81971,6.464842,5.22766,7.296318,7.968553,7.5075715,5.493448,6.978315,6.415336,4.179868,5.894742,9.313082,7.657434
6.82,6.39,6.34,7.679814,7.421822,4.900707,6.495788,5.155357,7.733824,8.341611,6.6651195,6.0783325,7.047765,6.267538,5.125478,5.522261,9.626772,7.423625
6.56,6.42,6.335,6.443257,6.359501,5.380678,6.446733,5.450772,6.918252,9.164311,7.3475805,6.535731,6.259687,6.525771,3.739863,5.399734,9.093865,7.26057
